Year,QB_cap_pct,RB_cap_pct,WR_cap_pct,TE_cap_pct,OL_cap_pct,DL_cap_pct,LB_cap_pct,CB_cap_pct,S_cap_pct,ED_cap_pct
2010,0.1348374314688033,0.06340593997912213,0.0963356980194018,0.045412974115634476,0.1674976127636264,0.0,0.1419069535050769,0.09165566574027159,0.06259002543579979,0.0
2011,0.09207163958305827,0.05856081746024897,0.10027539436001151,0.04911615924292747,0.18263242992242334,0.019624521374891353,0.14350886082604392,0.09553030287937872,0.07293754776587537,0.012904952400273333
2012,0.09236256383876984,0.06427351367058508,0.10877690516726873,0.047549713654265434,0.15120532205503845,0.09577413107258698,0.11727836862551685,0.09229681129873686,0.07436352121970127,0.10470354456548367
2013,0.0942864629512199,0.06195788186673093,0.10264346676098388,0.04306544177109047,0.18283822303267167,0.10017721996625828,0.10068721543658911,0.08749483767572193,0.07094321196042237,0.1049446902465491
2014,0.10607117591631154,0.05157159919395775,0.11223623871879633,0.05103357239029603,0.17672069864387008,0.10626699338719053,0.07588292851450062,0.09160290473538381,0.06563672459028908,0.11500359994644878
2015,0.10832844128173691,0.04151597461622595,0.10346270925280117,0.04993862739086133,0.16858102900772662,0.09962266502139892,0.09167321676439881,0.10639463197767017,0.06501513532585831,0.11743664505851392
2016,0.13767668763093946,0.03969908708691482,0.11084864332250327,0.04350871303075349,0.15864115015503924,0.10131341819923231,0.08326553542382256,0.11138552313006597,0.0643591815290966,0.10748722373849352
2017,0.10102513668470542,0.04813736681370447,0.11949580991457044,0.052135129891499064,0.16122514972613938,0.10996373234738772,0.07530859699411456,0.10187429320258509,0.07192379084833261,0.11686119406711624
2018,0.12063783458953217,0.03767000673359023,0.10686840852576544,0.04332291736126115,0.18084103620722808,0.10984784882576525,0.08653584467123766,0.09786309190038217,0.0653514537115629,0.1146114093298163
2019,0.10479778685068791,0.042834758868577204,0.11342198335513937,0.03969219448101292,0.20547106550103178,0.09034192924200193,0.08044451717152311,0.10842229445968007,0.06309196567992226,0.11494039337022272
2020,0.111685952260386,0.04799628746226766,0.1203609071234382,0.05314166626819878,0.18755833515044387,0.10841686772326313,0.07940432455965034,0.09109169528349267,0.07162466002347671,0.08969054320073466
2021,0.11207345314110972,0.04759929086985452,0.10326591921892198,0.050356001292645995,0.18404159964123207,0.12705765086652152,0.081847147889174,0.09716435083773574,0.06628448533118445,0.09205932954829574
2022,0.10097136626581867,0.04779728372829091,0.11810760288155261,0.05171688853458993,0.1781741228089667,0.13310365769984853,0.0743687748478834,0.08786584976061503,0.06974417251447015,0.09391449315253243
2023,0.08532971184918192,0.048727751694558924,0.12235069575859261,0.04754267868968694,0.1951143612192633,0.12546887751079724,0.08334174892519162,0.09032147108449141,0.06972534948390137,0.09277236001468832
2024,0.10395589605446415,0.039813826775016256,0.1093124861969794,0.05423235065928543,0.19285279744920322,0.10076965646773857,0.090897472818135,0.0877195179088904,0.07473910699571781,0.1053658231523999
