Year,Spending_Metric,W-L%
2010,ED_avg,0.6043333333333333
2010,ED_cap,0.6043333333333333
2010,OL_avg,0.5836666666666667
2010,OL_cap,0.4586666666666666
2010,QB_avg,0.625
2010,QB_cap,0.625
2010,S_avg,0.6666666666666666
2010,S_cap,0.5833333333333334
2010,TE_avg,0.39599999999999996
2010,TE_cap,0.47933333333333333
2010,WR_avg,0.3333333333333333
2010,WR_cap,0.5
2011,ED_avg,0.5833333333333334
2011,ED_cap,0.5833333333333334
2011,OL_avg,0.43766666666666665
2011,OL_cap,0.31266666666666665
2011,QB_avg,0.39599999999999996
2011,QB_cap,0.521
2011,S_avg,0.5836666666666667
2011,S_cap,0.6046666666666666
2011,TE_avg,0.31266666666666665
2011,TE_cap,0.4166666666666667
2011,WR_avg,0.5833333333333334
2011,WR_cap,0.6876666666666665
2012,ED_avg,0.521
2012,ED_cap,0.594
2012,OL_avg,0.5626666666666666
2012,OL_cap,0.39599999999999996
2012,QB_avg,0.6669999999999999
2012,QB_cap,0.5733333333333334
2012,S_avg,0.39599999999999996
2012,S_cap,0.6043333333333333
2012,TE_avg,0.6356666666666667
2012,TE_cap,0.44799999999999995
2012,WR_avg,0.39599999999999996
2012,WR_cap,0.47966666666666663
2013,ED_avg,0.5836666666666667
2013,ED_cap,0.6149999999999999
2013,OL_avg,0.43766666666666665
2013,OL_cap,0.5626666666666666
2013,QB_avg,0.5523333333333333
2013,QB_cap,0.5630000000000001
2013,S_avg,0.6669999999999999
2013,S_cap,0.6253333333333333
2013,TE_avg,0.5833333333333334
2013,TE_cap,0.6876666666666665
2013,WR_avg,0.3753333333333333
2013,WR_cap,0.27099999999999996
2014,ED_avg,0.5833333333333334
2014,ED_cap,0.5626666666666666
2014,OL_avg,0.375
2014,OL_cap,0.4166666666666667
2014,QB_avg,0.5416666666666666
2014,QB_cap,0.6043333333333333
2014,S_avg,0.6669999999999999
2014,S_cap,0.5626666666666666
2014,TE_avg,0.5836666666666667
2014,TE_cap,0.5003333333333333
2014,WR_avg,0.47933333333333333
2014,WR_cap,0.6043333333333333
2015,ED_avg,0.5626666666666666
2015,ED_cap,0.646
2015,OL_avg,0.6043333333333333
2015,OL_cap,0.7293333333333333
2015,QB_avg,0.7293333333333333
2015,QB_cap,0.4586666666666666
2015,S_avg,0.6876666666666665
2015,S_cap,0.5003333333333333
2015,TE_avg,0.6043333333333333
2015,TE_cap,0.5003333333333333
2015,WR_avg,0.47933333333333333
2015,WR_cap,0.5626666666666666
2016,ED_avg,0.6669999999999999
2016,ED_cap,0.6876666666666665
2016,OL_avg,0.6669999999999999
2016,OL_cap,0.5730000000000001
2016,QB_avg,0.46900000000000003
2016,QB_cap,0.6880000000000001
2016,S_avg,0.6876666666666668
2016,S_cap,0.646
2016,TE_avg,0.5730000000000001
2016,TE_cap,0.573
2016,WR_avg,0.6253333333333333
2016,WR_cap,0.594
2017,ED_avg,0.47933333333333333
2017,ED_cap,0.4586666666666666
2017,OL_avg,0.6253333333333333
2017,OL_cap,0.39599999999999996
2017,QB_avg,0.4586666666666666
2017,QB_cap,0.5419999999999999
2017,S_avg,0.6669999999999999
2017,S_cap,0.6669999999999999
2017,TE_avg,0.7296666666666667
2017,TE_cap,0.6046666666666666
2017,WR_avg,0.4586666666666666
2017,WR_cap,0.5419999999999999
2018,ED_avg,0.3753333333333333
2018,ED_cap,0.6043333333333333
2018,OL_avg,0.5523333333333333
2018,OL_cap,0.5523333333333333
2018,QB_avg,0.5523333333333333
2018,QB_cap,0.6043333333333333
2018,S_avg,0.6046666666666666
2018,S_cap,0.7086666666666667
2018,TE_avg,0.6146666666666666
2018,TE_cap,0.5626666666666666
2018,WR_avg,0.4896666666666667
2018,WR_cap,0.4896666666666667
2019,ED_avg,0.7086666666666667
2019,ED_cap,0.5213333333333333
2019,OL_avg,0.4586666666666666
2019,OL_cap,0.5836666666666667
2019,QB_avg,0.6046666666666666
2019,QB_cap,0.5626666666666666
2019,S_avg,0.6876666666666665
2019,S_cap,0.646
2019,TE_avg,0.5003333333333333
2019,TE_cap,0.5626666666666666
2019,WR_avg,0.5833333333333334
2019,WR_cap,0.5
2020,ED_avg,0.5626666666666666
2020,ED_cap,0.7086666666666667
2020,OL_avg,0.39599999999999996
2020,OL_cap,0.6669999999999999
2020,QB_avg,0.625
2020,QB_cap,0.646
2020,S_avg,0.4796666666666667
2020,S_cap,0.5419999999999999
2020,TE_avg,0.646
2020,TE_cap,0.48966666666666664
2020,WR_avg,0.46866666666666673
2020,WR_cap,0.6563333333333333
2021,ED_avg,0.7453333333333333
2021,ED_cap,0.706
2021,OL_avg,0.5096666666666666
2021,OL_cap,0.4703333333333333
2021,QB_avg,0.5293333333333333
2021,QB_cap,0.4903333333333333
2021,S_avg,0.588
2021,S_cap,0.6076666666666667
2021,TE_avg,0.608
2021,TE_cap,0.608
2021,WR_avg,0.5883333333333333
2021,WR_cap,0.588
2022,ED_avg,0.608
2022,ED_cap,0.5883333333333333
2022,OL_avg,0.5003333333333333
2022,OL_cap,0.5983333333333333
2022,QB_avg,0.39233333333333337
2022,QB_cap,0.6963333333333334
2022,S_avg,0.5096666666666666
2022,S_cap,0.603
2022,TE_avg,0.5296666666666666
2022,TE_cap,0.5096666666666666
2022,WR_avg,0.4116666666666666
2022,WR_cap,0.5293333333333333
2023,ED_avg,0.6076666666666667
2023,ED_cap,0.5486666666666666
2023,OL_avg,0.5883333333333333
2023,OL_cap,0.6666666666666666
2023,QB_avg,0.6276666666666667
2023,QB_cap,0.5686666666666667
