Year,Spending_Metric,W-L%
2010,QB_cap,0.51516
2010,QB_avg,0.52016
2010,S_cap,0.49768
2010,S_avg,0.48768
2010,OL_cap,0.50512
2010,OL_avg,0.50512
2010,WR_cap,0.51016
2010,WR_avg,0.53016
2010,ED_cap,0.4956785714285714
2010,ED_avg,0.4956785714285714
2010,TE_cap,0.51016
2010,TE_avg,0.52764
2011,QB_cap,0.5146153846153846
2011,QB_avg,0.5169999999999999
2011,S_cap,0.5001538461538462
2011,S_avg,0.4977692307692308
2011,OL_cap,0.5290384615384616
2011,OL_avg,0.5146153846153847
2011,WR_cap,0.5098076923076923
2011,WR_avg,0.5146538461538461
2011,ED_cap,0.49300000000000005
2011,ED_avg,0.49300000000000005
2011,TE_cap,0.4977692307692308
2011,TE_avg,0.4953461538461539
2012,QB_cap,0.5086153846153846
2012,QB_avg,0.47857692307692307
2012,S_cap,0.48580769230769233
2012,S_avg,0.5170384615384616
2012,OL_cap,0.5266923076923077
2012,OL_avg,0.49903846153846154
2012,WR_cap,0.5001923076923076
2012,WR_avg,0.5026153846153846
2012,ED_cap,0.4893846153846154
2012,ED_avg,0.4978076923076923
2012,TE_cap,0.5038461538461538
2012,TE_avg,0.49903846153846154
2013,QB_cap,0.5145769230769232
2013,QB_avg,0.49415384615384617
2013,S_cap,0.505
2013,S_avg,0.505
2013,OL_cap,0.4977692307692308
2013,OL_avg,0.5290384615384616
2013,WR_cap,0.5555
2013,WR_avg,0.5434615384615384
2013,ED_cap,0.47492307692307695
2013,ED_avg,0.47373076923076923
2013,TE_cap,0.505
2013,TE_avg,0.5170384615384616
2014,QB_cap,0.481
2014,QB_avg,0.4882307692307692
2014,S_cap,0.5194615384615384
2014,S_avg,0.4881923076923077
2014,OL_cap,0.493
2014,OL_avg,0.4978076923076923
2014,WR_cap,0.5086153846153846
2014,WR_avg,0.5230384615384616
2014,ED_cap,0.4713846153846154
2014,ED_avg,0.469
2014,TE_cap,0.5122307692307693
2014,TE_avg,0.5074230769230769
2015,QB_cap,0.5242692307692308
2015,QB_avg,0.4930384615384616
2015,S_cap,0.5195000000000001
2015,S_avg,0.5026923076923077
2015,OL_cap,0.4906153846153846
2015,OL_avg,0.5002307692307693
2015,WR_cap,0.5170769230769231
2015,WR_avg,0.5218846153846154
2015,ED_cap,0.46661538461538465
2015,ED_avg,0.4930769230769231
2015,TE_cap,0.5026538461538462
2015,TE_avg,0.4882692307692308
2016,QB_cap,0.48576923076923084
2016,QB_avg,0.5110384615384616
2016,S_cap,0.49665384615384617
2016,S_avg,0.4918461538461539
2016,OL_cap,0.49788461538461537
2016,OL_avg,0.47742307692307695
2016,WR_cap,0.5098846153846155
2016,WR_avg,0.5026538461538461
2016,ED_cap,0.48823076923076925
2016,ED_avg,0.4906153846153846
2016,TE_cap,0.5146923076923078
2016,TE_avg,0.49788461538461537
