Year,QB_cap,RB_cap,WR_cap,TE_cap,OL_cap,DL_cap,LB_cap,CB_cap,S_cap,ED_cap
2010,14.540000000000001,8.763333333333334,14.263333333333334,6.396666666666666,16.153333333333332,0.0,17.7,6.27,9.106666666666667,0.0
2011,9.953333333333333,6.406666666666666,13.18,4.8533333333333335,20.95,0.0,16.313333333333336,7.246666666666666,9.336666666666666,0.0
2012,15.333333333333334,7.849999999999999,11.1,5.706666666666667,15.523333333333333,10.666666666666666,15.516666666666666,12.833333333333334,5.863333333333333,2.9466666666666668
2013,11.613333333333332,5.88,8.006666666666666,3.73,19.833333333333332,4.096666666666667,10.266666666666667,8.826666666666666,6.87,10.486666666666666
2014,16.69,2.48,10.786666666666667,5.366666666666667,21.53333333333333,6.203333333333333,9.663333333333334,16.843333333333334,6.12,10.230000000000002
2015,12.496666666666664,5.22,13.763333333333334,5.34,23.853333333333335,14.38,14.213333333333333,13.459999999999999,5.19,11.986666666666666
2016,14.416666666666664,5.293333333333334,18.473333333333333,5.033333333333334,25.62,5.976666666666667,17.436666666666667,13.826666666666668,11.409999999999998,7.083333333333333
2017,12.46,8.886666666666665,16.0,8.353333333333333,27.94666666666667,12.4,7.993333333333332,9.506666666666666,16.213333333333335,11.146666666666667
2018,15.366666666666667,5.95,15.656666666666666,5.673333333333335,29.873333333333335,21.709999999999997,12.959999999999999,14.146666666666667,8.363333333333332,13.773333333333333
2019,18.653333333333332,4.503333333333333,12.756666666666666,8.223333333333333,30.99,11.743333333333334,7.8133333333333335,22.396666666666665,10.03,20.18
2020,13.4,4.696666666666666,30.073333333333338,8.46,28.923333333333336,17.506666666666664,14.563333333333333,11.280000000000001,18.173333333333332,31.036666666666665
2021,17.596666666666668,6.343333333333334,19.003333333333334,8.306666666666667,23.189999999999998,17.046666666666667,10.233333333333333,9.216666666666667,13.459999999999999,26.736666666666668
2022,21.166666666666668,5.1433333333333335,14.636666666666665,6.663333333333333,32.36333333333334,25.396666666666665,12.51,15.823333333333332,9.723333333333334,15.283333333333331
2023,29.923333333333332,7.52,15.703333333333333,2.8066666666666666,44.339999999999996,20.69,12.016666666666666,16.153333333333332,14.589999999999998,7.66
2024,28.19666666666667,7.066666666666666,18.639999999999997,12.493333333333334,50.10333333333333,10.93,15.693333333333333,12.386666666666665,8.466666666666667,10.433333333333332
