Year,Spending_Metric,W-L%
2010,ED_avg,0.6043333333333333
2010,ED_cap,0.6043333333333333
2010,OL_avg,0.43766666666666665
2010,OL_cap,0.5626666666666666
2010,QB_avg,0.27099999999999996
2010,QB_cap,0.31266666666666665
2010,S_avg,0.5
2010,S_cap,0.5
2010,TE_avg,0.43766666666666665
2010,TE_cap,0.5
2010,WR_avg,0.47933333333333333
2010,WR_cap,0.47933333333333333
2011,ED_avg,0.47933333333333333
2011,ED_cap,0.47933333333333333
2011,OL_avg,0.43766666666666665
2011,OL_cap,0.43766666666666665
2011,QB_avg,0.4586666666666666
2011,QB_cap,0.35433333333333333
2011,S_avg,0.43766666666666665
2011,S_cap,0.39599999999999996
2011,TE_avg,0.7296666666666667
2011,TE_cap,0.6046666666666666
2011,WR_avg,0.2916666666666667
2011,WR_cap,0.2293333333333333
2012,ED_avg,0.5003333333333333
2012,ED_cap,0.5003333333333333
2012,OL_avg,0.44799999999999995
2012,OL_cap,0.375
2012,QB_avg,0.521
2012,QB_cap,0.35433333333333333
2012,S_avg,0.4586666666666666
2012,S_cap,0.521
2012,TE_avg,0.375
2012,TE_cap,0.521
2012,WR_avg,0.5836666666666667
2012,WR_cap,0.521
2013,ED_avg,0.646
2013,ED_cap,0.6043333333333333
2013,OL_avg,0.31266666666666665
2013,OL_cap,0.4586666666666666
2013,QB_avg,0.5003333333333333
2013,QB_cap,0.31266666666666665
2013,S_avg,0.2916666666666667
2013,S_cap,0.3333333333333333
2013,TE_avg,0.27099999999999996
2013,TE_cap,0.27099999999999996
2013,WR_avg,0.25
2013,WR_cap,0.25
2014,ED_avg,0.6876666666666665
2014,ED_cap,0.6876666666666665
2014,OL_avg,0.6463333333333333
2014,OL_cap,0.6463333333333333
2014,QB_avg,0.5626666666666666
2014,QB_cap,0.5626666666666666
2014,S_avg,0.43766666666666665
2014,S_cap,0.27099999999999996
2014,TE_avg,0.35433333333333333
2014,TE_cap,0.39599999999999996
2014,WR_avg,0.3233333333333333
2014,WR_cap,0.3233333333333333
2015,ED_avg,0.5
2015,ED_cap,0.646
2015,OL_avg,0.39633333333333326
2015,OL_cap,0.3546666666666667
2015,QB_avg,0.3336666666666666
2015,QB_cap,0.3336666666666666
2015,S_avg,0.2916666666666667
2015,S_cap,0.3333333333333333
2015,TE_avg,0.5
2015,TE_cap,0.47933333333333333
2015,WR_avg,0.3336666666666666
2015,WR_cap,0.292
2016,ED_avg,0.417
2016,ED_cap,0.417
2016,OL_avg,0.5313333333333333
2016,OL_cap,0.448
2016,QB_avg,0.43799999999999994
2016,QB_cap,0.43799999999999994
2016,S_avg,0.38566666666666666
2016,S_cap,0.38566666666666666
2016,TE_avg,0.448
2016,TE_cap,0.30233333333333334
2016,WR_avg,0.35433333333333333
2016,WR_cap,0.323
2017,ED_avg,0.47966666666666663
2017,ED_cap,0.47966666666666663
2017,OL_avg,0.3753333333333333
2017,OL_cap,0.3336666666666666
2017,QB_avg,0.4586666666666666
2017,QB_cap,0.35433333333333333
2017,S_avg,0.35466666666666663
2017,S_cap,0.167
2017,TE_avg,0.3336666666666666
2017,TE_cap,0.292
2017,WR_avg,0.4586666666666666
2017,WR_cap,0.4586666666666666
2018,ED_avg,0.47933333333333333
2018,ED_cap,0.2916666666666667
2018,OL_avg,0.292
2018,OL_cap,0.292
2018,QB_avg,0.35433333333333333
2018,QB_cap,0.35433333333333333
2018,S_avg,0.4896666666666667
2018,S_cap,0.323
2018,TE_avg,0.4583333333333333
2018,TE_cap,0.35433333333333333
2018,WR_avg,0.39599999999999996
2018,WR_cap,0.375
2019,ED_avg,0.6253333333333333
2019,ED_cap,0.5836666666666667
2019,OL_avg,0.313
2019,OL_cap,0.3336666666666666
2019,QB_avg,0.40633333333333327
2019,QB_cap,0.34400000000000003
2019,S_avg,0.39633333333333337
2019,S_cap,0.4586666666666666
2019,TE_avg,0.417
2019,TE_cap,0.292
2019,WR_avg,0.3753333333333333
2019,WR_cap,0.3753333333333333
2020,ED_avg,0.39633333333333337
2020,ED_cap,0.20866666666666667
2020,OL_avg,0.5003333333333333
2020,OL_cap,0.5003333333333333
2020,QB_avg,0.44799999999999995
2020,QB_cap,0.44799999999999995
2020,S_avg,0.5003333333333333
2020,S_cap,0.5003333333333333
2020,TE_avg,0.5213333333333333
2020,TE_cap,0.5213333333333333
2020,WR_avg,0.5003333333333333
2020,WR_cap,0.5003333333333333
2021,ED_avg,0.2843333333333333
2021,ED_cap,0.2843333333333333
2021,OL_avg,0.441
2021,OL_cap,0.3626666666666667
2021,QB_avg,0.39199999999999996
2021,QB_cap,0.39199999999999996
2021,S_avg,0.2743333333333333
2021,S_cap,0.2743333333333333
2021,TE_avg,0.38233333333333336
2021,TE_cap,0.4216666666666667
2021,WR_avg,0.38233333333333336
2021,WR_cap,0.38233333333333336
2022,ED_avg,0.353
2022,ED_cap,0.353
2022,OL_avg,0.4706666666666666
2022,OL_cap,0.31366666666666665
2022,QB_avg,0.5493333333333333
2022,QB_cap,0.37266666666666665
2022,S_avg,0.5296666666666666
2022,S_cap,0.235
2022,TE_avg,0.539
2022,TE_cap,0.441
2022,WR_avg,0.38233333333333336
2022,WR_cap,0.43133333333333335
2023,ED_avg,0.608
2023,ED_cap,0.608
2023,OL_avg,0.43100000000000005
2023,OL_cap,0.4506666666666667
2023,QB_avg,0.4506666666666667
2023,QB_cap,0.49
2023,S_avg,0.43133333333333335
2023,S_cap,0.6076666666666667
2023,TE_avg,0.549
2023,TE_cap,0.451
2023,WR_avg,0.43100000000000005
